headline,snippet,web_url,lead_paragraph
"{u'main': u'U.S., CANADA TO HOLD WATER-POWER TALK'}","OTTAWA, April 9--A decision to arrange a high-level conference to consider the best use of the water-power resources of international rivers was about the only concrete result of his talks with President Eisenhower at White Sulphur Springs, Prime ...",https://query.nytimes.com/gst/abstract.html?res=9E0CE3D7123DE731A25753C1A9629C946792D6CF,"OTTAWA, April 9--A decision to arrange a high-level conference to consider the best use of the water-power resources of international rivers was about the only concrete result of his talks with President Eisenhower at White Sulphur Springs, Prime ..."
"{u'main': u'Plan Pulp and Paper Plant Of $30,000,000 for Canada'}","Erection of $30,000,000 plant planned by Manitoba Govt and Chicago financiers...",https://query.nytimes.com/gst/abstract.html?res=9A06E4DE1038E43ABC4E53DFBE66838A629EDE,
{u'main': u'Canada Asks U.S. Payment For Oil Spill on West Coast'},"Canada demands, June 9, full and prompt compensation for damage to Brit Columbia coast caused by 12,000 gal oil spill from tanker moored at Atlantic Richfield Co refinery at Cherry Point, Washington (State); Min Sharp says US has been informed inc...",https://query.nytimes.com/gst/abstract.html?res=9D0CE5DF113DEF34BC4852DFB0668389669EDE,
{u'main': u'Canada Acts in U.N. To Protect Arctic Against Oil Spills'},"UNITED NATIONS, N.Y., April 8 Canada has taken action here to protect her rights to defend her Arctic coasts against possible oil pollution if tankers begin using the Northwest Passage....",https://query.nytimes.com/gst/abstract.html?res=9E04E4D91431E236A0575AC0A9629C946190D6CF,"UNITED NATIONS, N.Y., April 8 Canada has taken action here to protect her rights to defend her Arctic coasts against possible oil pollution if tankers begin using the Northwest Passage."
{u'main': u'WATER AGENCY URGED; Neuberger Proposes North Pacific Plan With Canada'},"US Sen Neuberger proposes N Pacific internatl waterways agency for development in US Pacific NW, W Canada and Alaska...",https://query.nytimes.com/gst/abstract.html?res=9E0DE1DF1F3EE63ABC4D53DFB266838C649EDE,
{u'main': u'LATEST A-POWER: DEUTERIUM OXIDE; Heavy Water Available for Power and Research Large-Scale Commercial Output of Heavy Water Under Way DEUTERIUM CORP. HAS CANADA PLANT Demand Growing for Liquid Used in Atomic Reactors and Medical Research'},Jerome S. Spevack has heavy water to sell. He's one of the few private citizens in the world who can....,https://query.nytimes.com/gst/abstract.html?res=9D05EEDA143FE53BBC4850DFB166838C679EDE,Jerome S. Spevack has heavy water to sell. He's one of the few private citizens in the world who can.
"{u'main': u'Canada Gets Water fowl Stamps', u'kicker': u'1'}",,https://query.nytimes.com/gst/abstract.html?res=9B0CE1DE1131E43BBC4F53DFBE66838D679EDE,
{u'main': u'CANADA ANNOUNCES HEAVY-WATER PLANT'},"TORONTO, March 6 -- A $16 million plant to produce heavy water for use in Canada's expanding nuclear-power program will be built at Estevan in southern Saskatchewan....",https://query.nytimes.com/gst/abstract.html?res=9400E7DD153CE733A25754C0A9659C946491D6CF,"TORONTO, March 6 -- A $16 million plant to produce heavy water for use in Canada's expanding nuclear-power program will be built at Estevan in southern Saskatchewan."
{u'main': u'GREAT LAKES TAP I IS HELD UNLIKELY; State Says Use of Water Would Swindle Canada'},The state held out little hope yesterday for approval of plans to ease the city's water shortage by tapping the Great Lakes. The plan was suggested 10 days ago by Mayor Wagner....,https://query.nytimes.com/gst/abstract.html?res=9E0CE2D71638E73BA75752C0A96E9C946491D6CF,The state held out little hope yesterday for approval of plans to ease the city's water shortage by tapping the Great Lakes. The plan was suggested 10 days ago by Mayor Wagner.
{u'main': u'Israel Seeking U.S. Loan Of 75 Millions for Water; French Planes Cited Israel Is Asking New U.S. Loan Of 75 Million for Water Projects Canada Studies Matter'},"WASHINGTON, May 8--Israel has asked the ExportImport Bank for a loan of $75,000,000 to finance development of water resources. The bank is an agency of the United  States Government. The application became known today, as diplomatic sources report...",https://query.nytimes.com/gst/abstract.html?res=9A06E2D8113CE03BBC4153DFB366838D649EDE,"WASHINGTON, May 8--Israel has asked the ExportImport Bank for a loan of $75,000,000 to finance development of water resources. The bank is an agency of the United States Government. The application became known today, as diplomatic sources reported"
